,id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hour,lat,lng
201,202,현대오일뱅크,HD현대오일뱅크㈜직영 팔레스주유소,서울,서초구,서울 서초구 사평대로 136 (반포동),1670,1624,1,0,0,0,0,1,37.50013939999999,126.99918330000000
202,203,현대오일뱅크,HD현대오일뱅크㈜직영 사평로주유소,서울,서초구,서울 서초구 사평대로 350 (서초동),1676,1654,1,1,0,0,0,0,37.50330260000000,127.02152110000000
203,204,GS칼텍스,반포그린주유소,서울,서초구,서울 서초구 서초중앙로 239 (반포동),1676,1654,0,1,0,0,0,0,37.50323250000000,127.01085590000000
204,205,GS칼텍스,에너지플러스허브 삼방주유소,서울,서초구,서울 서초구 사평대로 364 (서초동),1676,1654,0,1,0,0,0,1,37.50371230000000,127.02309580000000
205,206,GS칼텍스,지에스칼텍스(주)선천주유소,서울,서초구,서울 서초구 동작대로 206 (방배동),1679,1649,1,1,0,0,0,0,37.49494250000000,126.98320560000000
206,207,GS칼텍스,대성산업(주)직영 터미널(고속)주유소,서울,서초구,서울 서초구 신반포로 222 (반포동),1685,1635,1,1,0,0,0,1,37.50676880000000,127.00882140000000
207,208,현대오일뱅크,HD현대오일뱅크㈜직영 서초제일주유소,서울,서초구,서울 서초구 사임당로 116 (서초동),1692,1646,1,1,0,0,0,0,37.49055730000000,127.02260520000000
208,209,현대오일뱅크,HD현대오일뱅크㈜직영 방배현대주유소,서울,서초구,서울 서초구 동작대로 182 (방배동),1692,1635,1,1,0,1,0,0,37.49285470000000,126.98318290000000
209,210,GS칼텍스,대성석유(주)연일주유소,서울,서초구,서울 서초구 남부순환로 2451,1696,1615,1,1,0,0,1,0,37.48258680000000,127.01851280000000
210,211,SK에너지,대신석유(주)대우주유소,서울,서초구,서울 서초구 양재대로 173 (양재동),1699,1637,0,1,0,0,1,1,37.46283090000000,127.03755760000000
211,212,현대오일뱅크,HD현대오일뱅크㈜직영 양재현대주유소,서울,서초구,서울 서초구 마방로 6,1699,1629,1,1,0,0,0,0,37.47357210000000,127.03970390000000
212,213,S-OIL,에쓰오일(주)직영 오토테크주유소,서울,서초구,서울특별시 서초구  효령로 356 (서초동),1705,1625,0,1,0,1,0,0,37.48648080000000,127.02285910000000
213,214,S-OIL,헌릉로주유소,서울,서초구,서울 서초구 헌릉로 177 (내곡동),1713,1638,0,1,0,0,0,0,37.45737050000000,127.06026320000000
214,215,GS칼텍스,에너지 플러스 허브 내곡,서울,서초구,서울 서초구 헌릉로 210,1713,1638,0,1,0,0,0,1,37.45531010000000,127.06292770000000
215,216,SK에너지,양재주유소,서울,서초구,서울 서초구 바우뫼로 178,1714,1639,1,1,0,0,0,1,37.47808850000001,127.03959220000000
216,217,GS칼텍스,지에스칼텍스(주)남서울주유소,서울,서초구,서울 서초구 나루터로 83 (잠원동),1749,1734,1,1,0,0,1,1,37.51615670000000,127.01891450000000
217,218,SK에너지,방배동주유소,서울,서초구,서울 서초구 효령로 29 (방배동),1893,1796,1,1,0,0,0,0,37.47810260000000,126.98776810000000
